number,apps,process
1,is,16
2,is,16
3,is,16
4,is,16
5,is,16
6,is,16
7,is,16
8,is,16
9,is,16
10,is,16
11,ft,16
12,ft,16
13,ft,16
14,ft,16
15,ft,16
16,ft,16
17,ft,16
18,ft,16
19,ft,16
20,ft,16
21,is,16
22,is,16
23,is,16
24,is,16
25,is,16
26,is,16
27,is,16
28,is,16
29,is,16
30,is,16
31,ft,16
32,ft,16
33,ft,16
34,ft,16
35,ft,16
36,ft,16
37,ft,16
38,ft,16
39,ft,16
40,ft,16
41,bt,16
42,bt,16
43,bt,16
44,bt,16
45,bt,16
46,bt,16
47,bt,16
48,bt,16
49,bt,16
50,bt,16
51,sp,16
52,sp,16
53,sp,16
54,sp,16
55,sp,16
56,sp,16
57,sp,16
58,sp,16
59,sp,16
60,sp,16
61,bt,16
62,bt,16
63,bt,16
64,bt,16
65,bt,16
66,bt,16
67,bt,16
68,bt,16
69,bt,16
70,bt,16
71,sp,16
72,sp,16
73,sp,16
74,sp,16
75,sp,16
76,sp,16
77,sp,16
78,sp,16
79,sp,16
80,sp,16
81,bt,16
82,bt,16
83,bt,16
84,bt,16
85,bt,16
86,bt,16
87,bt,16
88,bt,16
89,bt,16
90,bt,16
91,sp,16
92,sp,16
93,sp,16
94,sp,16
95,sp,16
96,sp,16
97,sp,16
98,sp,16
99,sp,16
100,sp,16
101,bt,16
102,bt,16
103,bt,16
104,bt,16
105,bt,16
106,bt,16
107,bt,16
108,bt,16
109,bt,16
110,bt,16
111,sp,16
112,sp,16
113,sp,16
114,sp,16
115,sp,16
116,sp,16
117,sp,16
118,sp,16
119,sp,16
120,sp,16
121,is,64
122,is,64
123,is,64
124,is,64
125,is,64
126,is,64
127,is,64
128,is,64
129,is,64
130,is,64
131,ft,64
132,ft,64
133,ft,64
134,ft,64
135,ft,64
136,ft,64
137,ft,64
138,ft,64
139,ft,64
140,ft,64
141,is,64
142,is,64
143,is,64
144,is,64
145,is,64
146,is,64
147,is,64
148,is,64
149,is,64
150,is,64
151,ft,64
152,ft,64
153,ft,64
154,ft,64
155,ft,64
156,ft,64
157,ft,64
158,ft,64
159,ft,64
160,ft,64
161,bt,64
162,bt,64
163,bt,64
164,bt,64
165,bt,64
166,bt,64
167,bt,64
168,bt,64
169,bt,64
170,bt,64
171,sp,64
172,sp,64
173,sp,64
174,sp,64
175,sp,64
176,sp,64
177,sp,64
178,sp,64
179,sp,64
180,sp,64
181,bt,64
182,bt,64
183,bt,64
184,bt,64
185,bt,64
186,bt,64
187,bt,64
188,bt,64
189,bt,64
190,bt,64
191,sp,64
192,sp,64
193,sp,64
194,sp,64
195,sp,64
196,sp,64
197,sp,64
198,sp,64
199,sp,64
200,sp,64
201,bt,64
202,bt,64
203,bt,64
204,bt,64
205,bt,64
206,bt,64
207,bt,64
208,bt,64
209,bt,64
210,bt,64
211,sp,64
212,sp,64
213,sp,64
214,sp,64
215,sp,64
216,sp,64
217,sp,64
218,sp,64
219,sp,64
220,sp,64
221,bt,64
222,bt,64
223,bt,64
224,bt,64
225,bt,64
226,bt,64
227,bt,64
228,bt,64
229,bt,64
230,bt,64
231,sp,64
232,sp,64
233,sp,64
234,sp,64
235,sp,64
236,sp,64
237,sp,64
238,sp,64
239,sp,64
240,sp,64
